OBJECTID,PERIMETER,SRA_,SRA_ID,AC,RUCODE,CODE3,OWNERGROUP,DPGROUP,SRA,UPDATE_,CONTRACT,AGENCY_NAM,AGENCY_ID,CO_NO,IN_CSA1,CURRENT_,CUR_FPD,ACRE,Shape__Area,Shape__Length
24,4748.98091,199073,1990073,0,SHU,L,SHC,SRA,YES,10699,n,Shasta College FPD,SHC,45,No,1999,Yes,338.821,1365558.5456543,4766.42008156448
26,84220.98439,798021,7980021,0,SHU,L,MVL,SRA,YES,72598,n,Millville FPD,MVL,45,No,1999,Yes,60592.652,242501597.14502,83791.0109959256
27,55291.81502,998015,9980015,0,SHU,L,FAL,SRA,YES,92098,n,Fall River ValleyFPD,FAL,45,No,1999,Yes,25151.974,226302153.354736,121459.004051147
29,120792.3693,199000,1990000,0,SHU,L,CRO,FRA,YES,12099,n,Castella FPD,CRO,45,No,1999,Yes,118416.466,563460260.247559,133060.158236265
30,20474.38866,798452,7980452,0,SHU,L,RFD,SRA,YES,72298,n,Buckeye FPD,RFD,45,No,1999,Yes,1784.047,7185640.29858398,20681.5154059871
31,32519.3519,798042,7980042,6387,SHU,L,SLF,LOCAL,NON,72498,n,Shasta Lake FPD,SLF,45,No,1999,Yes,7655.676,29991444.7211914,30333.9448400997
33,64557.06883,900223,9000223,0,SHU,L,COT,LRA,YES,90600,n,Cottonwood FPD,COT,45,No,2000,Yes,24251.886,98574896.7307129,65654.1532255635
34,52596.55533,1200017,12000017,0,SHU,L,BUF,SRA,YES,121200,n,Burney FPD,BUF,45,No,2000,Yes,17688.505,71669623.8752441,52479.9394445263
35,138582.60755,798045,7980045,7,SHU,L,RFD,LOCAL,NON,72298,n,City of Redding,RFD,45,No,1999,Yes,38333.734,158654864.65332,147774.067038633
36,56223.6024,798044,7980044,0,SHU,L,HVF,SRA,YES,72498,n,Happy Valley FPD,HVF,45,No,1999,Yes,20083.72,80969595.3405762,56774.8090574181
37,32352.23774,900246,9000246,0,SHU,L,AND,LRA,NON,90600,n,Anderson FPD,AFD,45,No,2000,Yes,5189.984,22773811.9489746,35265.6269015159
38,,900001,9000001,0,SHU,S,CAL,SRA,YES,52721,n,CalFire,CAL,45,No,2021,Yes,,8500205009.74341,1012451.37544447
39,,798041,7980041,73,SHU,L,WMG,SRA,SRA,72498,N,Mountain Gate FPD,WMG,45,NO,1999,YES,,17362231.1362305,28587.2275118461
40,31315.70223,798056,7980056,0,SHU,L,SHA,SRA,YES,72298,n,Shasta FPD,SHA,45,No,1999,Yes,5974.186,29166373.527832,33934.0835366789
